company_name,year,cluster_label,cluster,financial_health_score,net_profit_margin_percentage,gross_profit_margin_percentage,ebitda_margin_percentage,current_ratio,debt_equity_ratio,roe,roa,roi,asset_turnover_ratio,cfo_percentage,cfi_percentage,cff_percentage,revenue,net_income,market_capitalization
AAPL,2009,Healthy,0,61.71252252772611,19.193567,40.139844,29.073535,2.7425,0.0,26.0272,17.3365,26.0272,1.356037,-153.644888,263.672111,-10.027223,42905.0,8235.0,189.8
AAPL,2010,Healthy,0,62.2126110760106,21.484094,39.377539,29.761594,2.0113,0.0,29.3214,18.6385,29.3214,1.364797,310.020007,-230.976992,20.956986,65225.0,14013.0,296.89
AAPL,2011,Healthy,0,59.15291506989897,23.946642,40.478896,32.890835,1.6084,0.0,33.8341,22.2753,33.8341,1.412896,-2595.366528,2795.228216,-99.861687,108249.0,25922.0,376.4
AAPL,2012,Healthy,0,67.68363614248479,26.665091,43.87124,37.389782,1.4958,0.0,35.3041,23.7033,35.3041,1.323983,5462.513426,-5180.128894,-182.384533,156508.0,41733.0,500.61
AAPL,2013,Healthy,0,63.50067630399041,21.67047,37.624481,32.623018,1.6786,0.1373,29.9776,17.8923,26.3592,1.216335,1527.640194,-961.400512,-466.239681,170910.0,37037.0,504.79
AAPL,2014,Healthy,0,46.67539973098068,21.614377,38.588036,33.069285,1.0801,0.3164,35.4201,17.042,28.1142,1.244854,-14388.674699,5440.722892,9047.951807,182795.0,39510.0,647.36
AAPL,2015,Healthy,0,63.09082948082235,22.845774,40.059902,35.293841,1.1088,0.539,44.7355,18.3899,30.9201,1.272352,1116.904893,-773.419461,-243.485432,233715.0,53394.0,586.86
AAPL,2016,Healthy,0,50.87786415122475,21.186798,39.075956,32.706978,1.3527,0.6786,35.6237,14.2024,22.4312,1.001673,-10413.679245,7229.08805,3284.591195,215639.0,45687.0,617.59
AAPL,2017,Healthy,0,27.059524957484438,21.092421,38.46986,31.191272,1.2761,0.863,36.0702,12.8826,20.9082,0.917929,-32935.897436,23818.461538,9217.435897,229234.0,48351.0,868.87
AAPL,2018,Healthy,0,63.38061407313167,22.414202,38.343719,30.799149,1.1329,1.0685,55.5601,16.2775,29.6348,1.198352,1376.849218,285.668563,-1562.517781,265595.0,59531.0,748.54
AAPL,2019,Healthy,0,62.232731217701776,21.238095,37.817768,29.394559,1.5401,1.194,61.0645,16.323,30.3113,1.310498,285.430464,188.786969,-374.217432,260174.0,55256.0,1304.76
AAPL,2020,Healthy,0,61.15369996173045,20.913611,38.233248,28.174781,1.3636,1.7208,87.8664,17.7256,35.0054,1.544177,-773.109727,41.10206,832.007667,274515.0,57411.0,2255.97
AAPL,2021,Healthy,0,59.23200744082248,25.881793,41.77936,32.86698,1.0746,1.9768,150.0713,26.9742,54.9839,1.947842,-2695.284974,376.813472,2418.471503,365817.0,94680.0,2913.28
AAPL,2022,Healthy,0,60.97487787797547,25.309641,43.309631,33.104674,0.8794,2.3695,196.9589,28.2924,66.6994,2.309533,-1115.330533,204.108839,1011.221695,394328.0,99803.0,2066.94
AIG,2009,Moderate,2,61.23699489857112,-16.228611,24.671624,36.800668,1.0,1.1552,-45.3061,-1.5123,-6.0641,0.356937,-400.949299,-124.660194,625.609493,75447.0,-12244.0,4.04
AIG,2010,Moderate,2,61.153670721265044,2.80932,23.049884,29.062599,1.0,0.7548,32.1262,1.9393,6.6699,0.366506,-644.293478,384.782609,359.51087,72829.0,2046.0,7.79
AIG,2011,Moderate,2,61.90168343704149,30.427771,28.710545,23.385301,1.0,0.7349,18.4222,3.4107,10.6183,0.366496,14.490161,-6520.214669,6605.724508,65105.0,19810.0,44.06
AIG,2012,Moderate,2,60.38751799412583,4.827702,30.647064,27.139327,1.0,0.4915,3.7489,0.6742,2.5134,0.483906,-1331.884058,-6018.84058,7450.724638,71214.0,3438.0,52.11
AIG,2013,Moderate,2,62.34080665397376,13.190754,31.818974,24.569504,1.0,0.4125,8.9117,1.6641,6.3093,0.482389,486.318408,588.640133,-974.958541,68874.0,9085.0,75.16
AIG,2014,Moderate,2,60.754425958701304,11.689905,29.840388,26.009999,1.0,0.291,7.0606,1.469,5.469,0.465065,-1007.444668,-2874.044266,3981.488934,64406.0,7529.0,78.41
AIG,2015,Moderate,2,58.41094401677012,3.76498,18.113395,17.072711,1.0,0.3242,2.4631,0.4472,1.8601,0.488271,-3196.666667,-9402.222222,12698.888889,58327.0,2196.0,76.66
AIG,2016,Moderate,2,57.084715491638484,-1.62125,9.998663,9.175626,1.0,0.4022,-0.337,-0.052,-0.2403,0.485913,-4432.911392,-4116.455696,8649.367089,52367.0,-849.0,67.08
AIG,2017,Moderate,2,60.15842902491955,-12.285945,13.830775,12.99475,1.0,0.4815,-9.2226,-1.2161,-6.2251,0.508699,-1486.311787,2669.391635,-1083.079848,49520.0,-6084.0,53.56
AIG,2018,Moderate,2,61.71144997334718,-0.012661,14.604655,14.55401,1.0,0.6027,0.1797,0.0209,0.1121,0.515944,-62.341772,-35.28481,197.626582,47389.0,-6.0,34.86
AIG,2019,Moderate,2,69.7671000749176,6.685965,24.072287,23.754674,1.0,0.5243,6.1561,0.7849,4.0097,0.484009,7529.166667,22812.5,-30241.666667,49746.0,3326.0,44.65
AIG,2020,Moderate,2,60.69154855133667,-13.656942,15.803914,15.595848,1.0,0.5586,-8.7433,-0.9946,-5.5694,0.417582,-979.245283,5850.943396,-4771.698113,43736.0,-5973.0,32.62
AIG,2021,Moderate,2,60.94580831480509,17.97837,29.433121,29.54838,1.0,0.4377,14.5016,1.6646,10.0157,0.525431,-853.125,445.652174,507.472826,52057.0,9359.0,47.21
AIG,2022,Moderate,2,57.184967612544845,18.156529,36.787923,36.571753,1.0,0.6435,27.0084,2.1411,16.2446,0.813058,-4428.421053,3816.842105,711.578947,56437.0,10247.0,46.99
AMZN,2009,Moderate,2,62.33434515621721,3.680281,22.56722,6.148762,1.3304,0.2007,17.1581,6.5301,17.1581,3.882872,487.130178,-345.710059,-41.420118,24509.0,902.0,58.24
AMZN,2010,Moderate,2,62.98753831642326,3.368027,22.34534,5.771255,1.3254,0.2274,16.7832,6.1286,13.6736,4.059883,1106.012658,-1063.291139,57.278481,34204.0,1152.0,80.79
AMZN,2011,Moderate,2,62.0777078815396,1.312478,22.441084,4.045594,1.1741,0.0329,8.1346,2.4962,7.8757,6.00047,261.770624,-129.443327,-32.327297,48077.0,631.0,78.72
AMZN,2012,Moderate,2,61.93755414401318,-0.063837,24.752427,4.640466,1.1207,0.3765,-0.4761,-0.1198,-0.3459,5.417829,146.97609,-126.40647,79.43038,61093.0,-39.0,113.63
AMZN,2013,Moderate,2,62.666112254230235,0.368022,27.226938,5.369903,1.0716,0.3274,2.8114,0.6823,2.118,5.755037,829.545455,-647.878788,-81.666667,74452.0,274.0,182.54
AMZN,2014,Moderate,2,61.89368455726624,-0.270823,29.482627,5.53333,1.1153,0.7695,-2.2437,-0.4422,-1.268,4.682051,110.194878,-81.575133,71.380254,88988.0,-241.0,143.7
AMZN,2015,Moderate,2,62.53629671038377,0.556978,33.040203,7.956563,1.0536,0.6147,4.4531,0.9205,2.7579,4.951427,705.272408,-377.855888,-227.41652,107006.0,596.0,316.83
AMZN,2016,Moderate,2,62.26469350676591,1.743549,35.09306,9.046453,1.0448,0.399,12.2945,2.8429,8.7883,5.040342,433.215815,-239.637371,-93.578444,135987.0,2371.0,356.31
AMZN,2017,Moderate,2,63.4079396531758,1.705216,37.068355,8.761652,1.04,0.893,10.9459,2.3098,5.7824,3.390951,1519.023987,-2240.198511,821.174524,177866.0,3033.0,563.54
AMZN,2018,Moderate,2,62.133286955138246,4.325274,40.247416,11.920803,1.0981,0.5395,23.1303,6.1931,15.0245,3.47366,287.992126,-115.944882,-72.047244,232887.0,10073.0,734.42
AMZN,2019,Moderate,2,62.7987203711859,4.13087,40.990011,12.950856,1.097,0.3773,18.6723,5.1446,13.5573,3.28191,924.262059,-582.697384,-241.564675,280522.0,11588.0,916.15
AMZN,2020,Moderate,2,63.13747655592115,5.52525,39.567792,12.453635,1.0502,0.3406,22.8374,6.6411,17.0348,3.08315,1235.071976,-1114.432604,-20.639372,386064.0,21331.0,1634.16
AMZN,2021,Moderate,2,60.95213079780842,7.101413,42.032514,12.624356,1.1358,0.3526,24.134,7.9334,17.8428,2.512549,-836.831647,1050.469653,-113.638006,469822.0,33364.0,1691.0
AMZN,2022,Moderate,2,62.03698801306889,-0.52959,43.80534,10.539065,0.9446,0.4598,-1.8638,-0.5883,-1.2768,2.410875,247.771477,-199.273941,51.502464,513983.0,-2722.0,856.94
